"author","title","venue","volume",'pages',"year",'type',"access","key",'doi',"ee","url"
"Paolo Bottoni,Andrew Fish",Extending Spider Diagrams for policy definition.,J. Vis. Lang. Comput.,24,169-191,2013,Journal Articles,closed,journals/vlc/BottoniF13,10.1016/J.JVLC.2012.10.007,https://doi.org/10.1016/j.jvlc.2012.10.007,https://dblp.org/rec/journals/vlc/BottoniF13
"Peter Chapman,Gem Stapleton,Aidan J. Delaney",On the expressiveness of second-order spider diagrams.,J. Vis. Lang. Comput.,24,327-349,2013,Journal Articles,closed,journals/vlc/ChapmanSD13,10.1016/J.JVLC.2013.07.002,https://doi.org/10.1016/j.jvlc.2013.07.002,https://dblp.org/rec/journals/vlc/ChapmanSD13
"Aidan J. Delaney,Gem Stapleton,John Taylor 0001,Simon J. Thompson",On the expressiveness of spider diagrams and commutative star-free regular languages.,J. Vis. Lang. Comput.,24,273-288,2013,Journal Articles,closed,journals/vlc/DelaneySTT13,10.1016/J.JVLC.2013.02.001,https://doi.org/10.1016/j.jvlc.2013.02.001,https://dblp.org/rec/journals/vlc/DelaneySTT13
"Zhui Deng,Xiangyu Zhang 0001,Dongyan Xu",SPIDER - stealthy binary program instrumentation and debugging via hardware virtualization.,ACSAC,NaN,289-298,2013,Conference and Workshop Papers,closed,conf/acsac/DengZX13,10.1145/2523649.2523675,https://doi.org/10.1145/2523649.2523675,https://dblp.org/rec/conf/acsac/DengZX13
"Abdelaziz A. Abdelhamid,Waleed H. Abdulla,Bruce A. MacDonald",SPIDER - A continuous speech light decoder.,APSIPA,NaN,1-10,2013,Conference and Workshop Papers,closed,conf/apsipa/AbdelhamidAM13,10.1109/APSIPA.2013.6694217,https://doi.org/10.1109/APSIPA.2013.6694217,https://dblp.org/rec/conf/apsipa/AbdelhamidAM13
"Véronique Van Vlasselaer,Jan Meskens,Dries Van Dromme,Bart Baesens",Using social network knowledge for detecting spider constructions in social security fraud.,ASONAM,NaN,813-820,2013,Conference and Workshop Papers,closed,conf/asunam/VlasselaerMDB13,10.1145/2492517.2500292,https://doi.org/10.1145/2492517.2500292,https://dblp.org/rec/conf/asunam/VlasselaerMDB13
"Victor A. Mateevitsi,Brad Haggadone,Jason Leigh,Brian Kunzer,Robert V. Kenyon",Sensing the environment through SpiderSense.,AH,NaN,51-57,2013,Conference and Workshop Papers,closed,conf/aughuman/MateevitsiHLKK13,10.1145/2459236.2459246,https://doi.org/10.1145/2459236.2459246,https://dblp.org/rec/conf/aughuman/MateevitsiHLKK13
"Dmitriy Dubovitskiy,Jeff McBride",New ‘Spider' Convex Hull Algorithm - For an Unknown Polygon in Object Recognition.,BIODEVICES,NaN,311-317,2013,Conference and Workshop Papers,unavailable,conf/biostec/DubovitskiyM13,NaN,NaN,https://dblp.org/rec/conf/biostec/DubovitskiyM13
"Jonathan Moreno,Ulises Cortés,Dario Garcia-Gasulla,Ignasi Gómez-Sebastià,Sergio Álvarez-Napagao",Applying COAALAS to SPiDer.,CCIA,NaN,326-335,2013,Conference and Workshop Papers,closed,conf/ccia/MorenoCGGA13,10.3233/978-1-61499-320-9-326,https://doi.org/10.3233/978-1-61499-320-9-326,https://dblp.org/rec/conf/ccia/MorenoCGGA13
"Mu-Hsen Hsu,W. G. C. W. Kumara,Timothy K. Shih,Zixue Cheng",Spider King - Virtual musical instruments based on microsoft Kinect.,iCAST/UMEDIA,NaN,707-713,2013,Conference and Workshop Papers,closed,conf/icawst/HsuKSC13,10.1109/ICAWST.2013.6765529,https://doi.org/10.1109/ICAwST.2013.6765529,https://dblp.org/rec/conf/icawst/HsuKSC13
"Wagner Schmitt,Marcelo Walter,João Luiz Dihl Comba",Realistic Modeling of Self-Adapted Spider Orb-Webs in Real-Time.,SIBGRAPI,NaN,288-295,2013,Conference and Workshop Papers,closed,conf/sibgrapi/SchmittWC13,10.1109/SIBGRAPI.2013.47,https://doi.org/10.1109/SIBGRAPI.2013.47,https://dblp.org/rec/conf/sibgrapi/SchmittWC13
"Paolo Bottoni,Andrew Fish",Policy enforcement and verification with Timed Modeling Spider Diagrams.,VL/HCC,NaN,27-34,2013,Conference and Workshop Papers,closed,conf/vl/BottoniF13,10.1109/VLHCC.2013.6645239,https://doi.org/10.1109/VLHCC.2013.6645239,https://dblp.org/rec/conf/vl/BottoniF13
"Gem Stapleton,Mateja Jamnik,Matej Urbas",Designing inference rules for spider diagrams.,VL/HCC,NaN,19-26,2013,Conference and Workshop Papers,closed,conf/vl/StapletonJU13,10.1109/VLHCC.2013.6645238,https://doi.org/10.1109/VLHCC.2013.6645238,https://dblp.org/rec/conf/vl/StapletonJU13
"Gem Stapleton,John Howse,Simon J. Thompson,John Taylor 0001,Peter Chapman",On the Completeness of Spider Diagrams Augmented with Constants.,Visual Reasoning with Diagrams,NaN,101-133,2013,Parts in Books or Collections,closed,books/sp/13/StapletonHT0C13,10.1007/978-3-0348-0600-8_7,https://doi.org/10.1007/978-3-0348-0600-8_7,https://dblp.org/rec/books/sp/13/StapletonHT0C13
Takuro Fukunaga,Spider covers for prize-collecting network activation problem.,CoRR,abs/1310.5422,NaN,2013,Informal Publications,open,journals/corr/Fukunaga13,NaN,http://arxiv.org/abs/1310.5422,https://dblp.org/rec/journals/corr/Fukunaga13
Aaditya Prakash,Reconstructing Self Organizing Maps as Spider Graphs for better visual interpretation of large unstructured datasets,CoRR,abs/1301.0289,NaN,2013,Informal Publications,open,journals/corr/abs-1301-0289,NaN,http://arxiv.org/abs/1301.0289,https://dblp.org/rec/journals/corr/abs-1301-0289
"Aparna Das,Markus Geyer,Michael Kaufmann 0001,Stephen G. Kobourov,Sankar Veeramoni",Maximum Differential Coloring of Caterpillars and Spiders,CoRR,abs/1302.7085,NaN,2013,Informal Publications,open,journals/corr/abs-1302-7085,NaN,http://arxiv.org/abs/1302.7085,https://dblp.org/rec/journals/corr/abs-1302-7085
"Reda Mohamed Hamou,Abdelmalek Amine,Ahmed Chaouki Lokbani",The Social Spiders in the Clustering of Texts - Towards an Aspect of Visual Classification.,Int. J. Artif. Life Res.,3,1-14,2012,Journal Articles,closed,journals/ijalr/HamouAL12,10.4018/JALR.2012070101,https://doi.org/10.4018/jalr.2012070101,https://dblp.org/rec/journals/ijalr/HamouAL12
"Benahmed Khelifa,Madjid Merabti,Hafid Haffaf",Inspired Social Spider Behavior for Secure Wireless Sensor Networks.,Int. J. Mob. Comput. Multim. Commun.,4,1-10,2012,Journal Articles,closed,journals/ijmcmc/KhelifaMH12,10.4018/JMCMC.2012100101,https://doi.org/10.4018/jmcmc.2012100101,https://dblp.org/rec/journals/ijmcmc/KhelifaMH12
"Yasong Li,Ausama Ahmed,Dan Sameoto,Carlo Menon",Abigaille II - toward the development of a spider-inspired climbing robot.,Robotica,30,79-89,2012,Journal Articles,closed,journals/robotica/LiASM12,10.1017/S0263574711000373,https://doi.org/10.1017/S0263574711000373,https://dblp.org/rec/journals/robotica/LiASM12
"Tianjun Fu,Ahmed Abbasi,Daniel Zeng,Hsinchun Chen",Sentimental Spidering - Leveraging Opinion Information in Focused Crawlers.,ACM Trans. Inf. Syst.,30,24:1-24:30,2012,Journal Articles,closed,journals/tois/FuAZC12,10.1145/2382438.2382443,https://doi.org/10.1145/2382438.2382443,https://dblp.org/rec/journals/tois/FuAZC12
"Carlos Manuel Travieso-González,Jaime Roberto Ticay-Rivas,Marcos del Pozo-Baños,William G. Eberhard,Jesús Bernardino Alonso Hernández",Improving Spider Recognition Based on Biometric Web Analysis.,CIARP,NaN,438-446,2012,Conference and Workshop Papers,open,conf/ciarp/Travieso-GonzalezTPEH12,10.1007/978-3-642-33275-3_54,https://doi.org/10.1007/978-3-642-33275-3_54,https://dblp.org/rec/conf/ciarp/Travieso-GonzalezTPEH12
"Matej Urbas,Mateja Jamnik,Gem Stapleton,Jean Flower",Speedith - A Diagrammatic Reasoner for Spider Diagrams.,Diagrams,NaN,163-177,2012,Conference and Workshop Papers,closed,conf/diagrams/UrbasJSF12,10.1007/978-3-642-31223-6_19,https://doi.org/10.1007/978-3-642-31223-6_19,https://dblp.org/rec/conf/diagrams/UrbasJSF12
Rania Soussi,SPIDER-Graph - A Model for Heterogeneous Graphs Extracted from a Relational Database.,ER,NaN,543-552,2012,Conference and Workshop Papers,closed,conf/er/Soussi12,10.1007/978-3-642-34002-4_44,https://doi.org/10.1007/978-3-642-34002-4_44,https://dblp.org/rec/conf/er/Soussi12
"Mohamed Essalih,Mohamed El Marraki,Driss Aboutajdine",The two first levels of Spider's Web planar graph and The Network planar graph.,ICMCS,NaN,57-60,2012,Conference and Workshop Papers,closed,conf/icmcs2/EssalihMA12,10.1109/ICMCS.2012.6320164,https://doi.org/10.1109/ICMCS.2012.6320164,https://dblp.org/rec/conf/icmcs2/EssalihMA12
Jason Stamp,The SPIDERS project - Smart Power Infrastructure Demonstration for Energy Reliability and Security at US military facilities.,ISGT,NaN,1,2012,Conference and Workshop Papers,closed,conf/isgt/Stamp12,10.1109/ISGT.2012.6175743,https://doi.org/10.1109/ISGT.2012.6175743,https://dblp.org/rec/conf/isgt/Stamp12
"Reda Mohamed Hamou,Abdelmalek Amine,Mohamed Rahmani",A New Biomimetic Approach Based on Social Spiders for Clustering of Text.,SERA,NaN,17-30,2012,Conference and Workshop Papers,closed,conf/sera/HamouAR12,10.1007/978-3-642-30460-6_2,https://doi.org/10.1007/978-3-642-30460-6_2,https://dblp.org/rec/conf/sera/HamouAR12
"Shamik Sengupta,Kai Hong,Rajarathnam Chandramouli,Koduvayur P. Subbalakshmi",SpiderRadio - A cognitive radio network with commodity hardware and open source software.,IEEE Commun. Mag.,49,101-109,2011,Journal Articles,closed,journals/cm/SenguptaHCS11,10.1109/MCOM.2011.5723806,https://doi.org/10.1109/MCOM.2011.5723806,https://dblp.org/rec/journals/cm/SenguptaHCS11
"Jen-Ling Shang,Chiang Lin",Spiders are status unique in trees.,Discret. Math.,311,785-791,2011,Journal Articles,open,journals/dm/ShangL11,10.1016/J.DISC.2011.01.020,https://doi.org/10.1016/j.disc.2011.01.020,https://dblp.org/rec/journals/dm/ShangL11
"Paolo Bottoni,Andrew Fish",A visual language for temporal specifications based on Spider diagrams.,Electron. Commun. Eur. Assoc. Softw. Sci. Technol.,41,NaN,2011,Journal Articles,open,journals/eceasst/BottoniF11,10.14279/TUJ.ECEASST.41.579,https://doi.org/10.14279/tuj.eceasst.41.579,https://dblp.org/rec/journals/eceasst/BottoniF11
Lyn Brodie,Mapping Learning Outcomes and Assignment Tasks for SPIDER Activities.,iJET,6,25-32,2011,Journal Articles,open,journals/ijet/Brodie11a,NaN,https://www.online-journals.org/index.php/i-jet/article/view/1649,https://dblp.org/rec/journals/ijet/Brodie11a
"Servet Soyguder,Hasan Alli",Motion mechanism concept and morphology of a single actuator tetrapod walking spider robot - the ROBOTURK SA-2 Robot.,Ind. Robot,38,361-371,2011,Journal Articles,closed,journals/irob/SoyguderA11,10.1108/01439911111132058,https://doi.org/10.1108/01439911111132058,https://dblp.org/rec/journals/irob/SoyguderA11
"Dimitris Gritzalis,Giannis F. Marias,Yacine Rebahi,Yannis Soupionis,Sven Ehlert",SPIDER - A platform for managing SIP-based Spam over Internet Telephony (SPIT).,J. Comput. Secur.,19,835-867,2011,Journal Articles,closed,journals/jcs/GritzalisMRSE11,10.3233/JCS-2010-0419,https://doi.org/10.3233/JCS-2010-0419,https://dblp.org/rec/journals/jcs/GritzalisMRSE11
"Volker Herzig,David L. A. Wood,Felicity Newell,Pierre-Alain Chaumeil,Quentin Kaas,Greta J. Binford,Graham M. Nicholson,Dominique Gorse,Glenn F. King","ArachnoServer 2.0, an updated online resource for spider toxin sequences and structures.",Nucleic Acids Res.,39,653-657,2011,Journal Articles,open,journals/nar/HerzigWNCKBNGK11,10.1093/NAR/GKQ1058,https://doi.org/10.1093/nar/gkq1058,https://dblp.org/rec/journals/nar/HerzigWNCKBNGK11
"Jan Schweckendiek,Tim Klucken,Christian J. Merz,Katharina Tabbert,Bertram Walter,Wolfgang Ambach,Dieter Vaitl,Rudolf Stark",Weaving the (neuronal) web - Fear learning in spider phobia.,NeuroImage,54,681-688,2011,Journal Articles,closed,journals/neuroimage/SchweckendiekKMTWAVS11,10.1016/J.NEUROIMAGE.2010.07.049,https://doi.org/10.1016/j.neuroimage.2010.07.049,https://dblp.org/rec/journals/neuroimage/SchweckendiekKMTWAVS11
"Renato Vidoni,Alessandro Gasparetto",Efficient force distribution and leg posture for a bio-inspired spider robot.,Robotics Auton. Syst.,59,142-150,2011,Journal Articles,closed,journals/ras/VidoniG11,10.1016/J.ROBOT.2010.10.001,https://doi.org/10.1016/j.robot.2010.10.001,https://dblp.org/rec/journals/ras/VidoniG11
Anabela Barreiro,SPIDER - A System for Paraphrasing in Document Editing and Revision - Applicability in Machine Translation Pre-editing.,CICLing,NaN,365-376,2011,Conference and Workshop Papers,closed,conf/cicling/Barreiro11,10.1007/978-3-642-19437-5_30,https://doi.org/10.1007/978-3-642-19437-5_30,https://dblp.org/rec/conf/cicling/Barreiro11
"Oleg Semenov,Mark J. Olah,Darko Stefanovic",Multiple Molecular Spiders with a Single Localized Source - The One-Dimensional Case - (Extended Abstract).,DNA,NaN,204-216,2011,Conference and Workshop Papers,closed,conf/dna/SemenovOS11,10.1007/978-3-642-23638-9_17,https://doi.org/10.1007/978-3-642-23638-9_17,https://dblp.org/rec/conf/dna/SemenovOS11
"Robert Binna,Wolfgang Gassler,Eva Zangerle,Dominic Pacher,Günther Specht",SpiderStore - A Native Main Memory Approach for Graph Storage.,Grundlagen von Datenbanken,NaN,91-96,2011,Conference and Workshop Papers,open,conf/gvd/BinnaGZPS11,NaN,http://ceur-ws.org/Vol-733/paper_binna.pdf,https://dblp.org/rec/conf/gvd/BinnaGZPS11
"Tetsuro Morimoto,Robby T. Tan,Rei Kawakami,Katsushi Ikeuchi",Accuracy of the spider model in decomposing layered surfaces.,ICCV Workshops,NaN,814-821,2011,Conference and Workshop Papers,closed,conf/iccvw/MorimotoTKI11,10.1109/ICCVW.2011.6130336,https://doi.org/10.1109/ICCVW.2011.6130336,https://dblp.org/rec/conf/iccvw/MorimotoTKI11
"João Mourinho,Teresa Galvão,João Falcão e Cunha",Spider Maps for Location-Based Services Improvement.,IESS,NaN,16-29,2011,Conference and Workshop Papers,closed,conf/icexss/MourinhoGC11,10.1007/978-3-642-21547-6_2,https://doi.org/10.1007/978-3-642-21547-6_2,https://dblp.org/rec/conf/icexss/MourinhoGC11
"Alon Capua,Amir Shapiro,Shraga Shoval",SpiderBot - A cable suspended mobile robot.,ICRA,NaN,3437-3438,2011,Conference and Workshop Papers,closed,conf/icra/CapuaSS11,10.1109/ICRA.2011.5979640,https://doi.org/10.1109/ICRA.2011.5979640,https://dblp.org/rec/conf/icra/CapuaSS11
"Georg Oberholzer,Philipp Sommer,Roger Wattenhofer",SpiderBat - Augmenting wireless sensor networks with distance and angle information.,IPSN,NaN,211-222,2011,Conference and Workshop Papers,closed,conf/ipsn/OberholzerSW11,NaN,https://ieeexplore.ieee.org/document/5779039/,https://dblp.org/rec/conf/ipsn/OberholzerSW11
"Matej Urbas,Mateja Jamnik",Heterogeneous Proofs - Spider Diagrams Meet Higher-Order Provers.,ITP,NaN,376-382,2011,Conference and Workshop Papers,closed,conf/itp/UrbasJ11,10.1007/978-3-642-22863-6_29,https://doi.org/10.1007/978-3-642-22863-6_29,https://dblp.org/rec/conf/itp/UrbasJ11
"Jaime Roberto Ticay-Rivas,Marcos del Pozo-Baños,William G. Eberhard,Jesús B. Alonso,Carlos M. Travieso",Spider Recognition by Biometric Web Analysis.,IWINAC,NaN,409-417,2011,Conference and Workshop Papers,closed,conf/iwinac/Ticay-RivasPEAT11,10.1007/978-3-642-21326-7_44,https://doi.org/10.1007/978-3-642-21326-7_44,https://dblp.org/rec/conf/iwinac/Ticay-RivasPEAT11
"Florentine Dubois,José Cano 0001,Marcello Coppola,José Flich,Frédéric Pétrot",Spidergon STNoC design flow.,NOCS,NaN,267-268,2011,Conference and Workshop Papers,closed,conf/nocs/DuboisCCFP11,10.1145/1999946.1999994,https://doi.org/10.1145/1999946.1999994,https://dblp.org/rec/conf/nocs/DuboisCCFP11
"Yasong Li,Carlo Menon",Preliminary development of a spider-inspired structure for underwater application.,ROBIO,NaN,1188-1193,2011,Conference and Workshop Papers,closed,conf/robio/LiM11,10.1109/ROBIO.2011.6181449,https://doi.org/10.1109/ROBIO.2011.6181449,https://dblp.org/rec/conf/robio/LiM11
"Hamed Soroush,Peter Gilbert,Nilanjan Banerjee,Mark D. Corner,Brian Neil Levine,Landon P. Cox",Spider - improving mobile networking with concurrent wi-fi connections.,SIGCOMM,NaN,402-403,2011,Conference and Workshop Papers,closed,conf/sigcomm/SoroushGBCLC11,10.1145/2018436.2018489,https://doi.org/10.1145/2018436.2018489,https://dblp.org/rec/conf/sigcomm/SoroushGBCLC11
"Paolo Bottoni,Andrew Fish",Policy specifications with Timed Spider Diagrams.,VL/HCC,NaN,95-98,2011,Conference and Workshop Papers,closed,conf/vl/BottoniF11,10.1109/VLHCC.2011.6070385,https://doi.org/10.1109/VLHCC.2011.6070385,https://dblp.org/rec/conf/vl/BottoniF11
Jesse Stern,Spider Solitaire is NP-Complete,CoRR,abs/1110.1052,NaN,2011,Informal Publications,open,journals/corr/abs-1110-1052,NaN,http://arxiv.org/abs/1110.1052,https://dblp.org/rec/journals/corr/abs-1110-1052
"David Michaliszyn,André Marchand,Stéphane Bouchard,Marc-Olivier Martel,Joannie Poirier-Bisson","A Randomized, Controlled Clinical Trial of In Virtuo and In Vivo Exposure for Spider Phobia.",Cyberpsychology Behav. Soc. Netw.,13,689-695,2010,Journal Articles,closed,journals/cbsn/MichaliszynMBMP10,10.1089/CYBER.2009.0277,https://doi.org/10.1089/cyber.2009.0277,https://dblp.org/rec/journals/cbsn/MichaliszynMBMP10
"Mahmoud Moadeli,Alireza Shahrabi,Wim Vanderbauwhede,Partha P. Maji",An analytical performance model for the Spidergon NoC with virtual channels.,J. Syst. Archit.,56,16-26,2010,Journal Articles,closed,journals/jsa/MoadeliSVM10,10.1016/J.SYSARC.2009.10.002,https://doi.org/10.1016/j.sysarc.2009.10.002,https://dblp.org/rec/journals/jsa/MoadeliSVM10
"Alexey V. Antonov,Esther Schmidt,Sabine Dietmann,Maria Krestyaninova,Henning Hermjakob",R spider - a network-based analysis of gene lists by combining signaling and metabolic pathways from Reactome and KEGG databases.,Nucleic Acids Res.,38,78-83,2010,Journal Articles,open,journals/nar/AntonovSDKH10,10.1093/NAR/GKQ482,https://doi.org/10.1093/nar/gkq482,https://dblp.org/rec/journals/nar/AntonovSDKH10
Shahriar Salimi,Continuous-time quantum walks on semi-regular spidernet graphs via quantum probability theory.,Quantum Inf. Process.,9,75-91,2010,Journal Articles,closed,journals/qip/Salimi10,10.1007/S11128-009-0130-0,https://doi.org/10.1007/s11128-009-0130-0,https://dblp.org/rec/journals/qip/Salimi10
"Atul Krishna Kamath,Navdeep M. Singh,Faruk Kazi,Ramkrishna Pasumarthy",Dynamics and control of 2D SpiderCrane - A controlled Lagrangian approach.,CDC,NaN,3596-3601,2010,Conference and Workshop Papers,closed,conf/cdc/KamathSKP10,10.1109/CDC.2010.5717436,https://doi.org/10.1109/CDC.2010.5717436,https://dblp.org/rec/conf/cdc/KamathSKP10
"Ioannis Sarras,Faruk Kazi,Romeo Ortega,Ravi N. Banavar",Total energy-shaping IDA-PBC control of the 2D-SpiderCrane.,CDC,NaN,1122-1127,2010,Conference and Workshop Papers,closed,conf/cdc/SarrasKOB10,10.1109/CDC.2010.5718000,https://doi.org/10.1109/CDC.2010.5718000,https://dblp.org/rec/conf/cdc/SarrasKOB10
"Tetsuro Morimoto,Robby T. Tan,Rei Kawakami,Katsushi Ikeuchi",Estimating optical properties of layered surfaces using the spider model.,CVPR,NaN,207-214,2010,Conference and Workshop Papers,closed,conf/cvpr/MorimotoTKI10,10.1109/CVPR.2010.5540211,https://doi.org/10.1109/CVPR.2010.5540211,https://dblp.org/rec/conf/cvpr/MorimotoTKI10
"Vladimir Pasca,Lorena Anghel,Claudia Rusu,Riccardo Locatelli,Massimo Coppola",Error resilience of intra-die and inter-die communication with 3D spidergon STNoC.,DATE,NaN,275-278,2010,Conference and Workshop Papers,closed,conf/date/PascaARLC10,10.1109/DATE.2010.5457198,https://doi.org/10.1109/DATE.2010.5457198,https://dblp.org/rec/conf/date/PascaARLC10
"Onur Soysal,Murat Demirbas",Data Spider - A Resilient Mobile Basestation Protocol for Efficient Data Collection in Wireless Sensor Networks.,DCOSS,NaN,393-408,2010,Conference and Workshop Papers,closed,conf/dcoss/SoysalD10,10.1007/978-3-642-13651-1_28,https://doi.org/10.1007/978-3-642-13651-1_28,https://dblp.org/rec/conf/dcoss/SoysalD10
"Aidan J. Delaney,Gem Stapleton,John Taylor 0001,Simon J. Thompson",Fragments of Spider Diagrams of Order and Their Relative Expressiveness.,Diagrams,NaN,69-83,2010,Conference and Workshop Papers,closed,conf/diagrams/DelaneySTT10,10.1007/978-3-642-14600-8_10,https://doi.org/10.1007/978-3-642-14600-8_10,https://dblp.org/rec/conf/diagrams/DelaneySTT10
"Peter Chapman,Gem Stapleton",On the Relative Expressiveness of Second-Order Spider Diagrams and Regular Expressions.,DMS,NaN,283-288,2010,Conference and Workshop Papers,unavailable,conf/dms/ChapmanS10,NaN,NaN,https://dblp.org/rec/conf/dms/ChapmanS10
"Jirí Jaros,Vaclav Dvorak",Evolutionary-based conflict-free scheduling of collective communications on spidergon NoCs.,GECCO,NaN,1171-1178,2010,Conference and Workshop Papers,closed,conf/gecco/JarosD10,10.1145/1830483.1830698,https://doi.org/10.1145/1830483.1830698,https://dblp.org/rec/conf/gecco/JarosD10
"Kai Hong,Shamik Sengupta,Rajarathnam Chandramouli",SpiderRadio - An Incumbent Sensing Implementation for Cognitive Radio Networking Using IEEE 802.11 Devices.,ICC,NaN,1-5,2010,Conference and Workshop Papers,closed,conf/icc/HongSC10a,10.1109/ICC.2010.5502025,https://doi.org/10.1109/ICC.2010.5502025,https://dblp.org/rec/conf/icc/HongSC10a
"Mohamed Bakhouya,Suboh A. Suboh,Jaafar Gaber,Tarek A. El-Ghazawi","Analytical performance comparison of 2D Mesh, WK-recursive, and Spidergon NoCs.",IPDPS Workshops,NaN,1-6,2010,Conference and Workshop Papers,closed,conf/ipps/BakhouyaSGE10,10.1109/IPDPSW.2010.5470784,https://doi.org/10.1109/IPDPSW.2010.5470784,https://dblp.org/rec/conf/ipps/BakhouyaSGE10
"Khaldon Hassan,Marcello Coppola",Off-Chip SDRAM Access Through Spidergon STNoC.,ISVLSI,NaN,245-261,2010,Conference and Workshop Papers,closed,conf/isvlsi/HassanC10,10.1007/978-94-007-1488-5_15,https://doi.org/10.1007/978-94-007-1488-5_15,https://dblp.org/rec/conf/isvlsi/HassanC10
John Sheridan,Written Laws are Like Spiders Webs.,JURIX,NaN,4,2010,Conference and Workshop Papers,closed,conf/jurix/Sheridan10,10.3233/978-1-60750-682-9-4,https://doi.org/10.3233/978-1-60750-682-9-4,https://dblp.org/rec/conf/jurix/Sheridan10
"Kostadin Kratchanov,Tzanko Golemanov,Emilia Golemanova,Tuncay Ercan",Control Network Programming with SPIDER - Dynamic Search Control.,KES,NaN,253-262,2010,Conference and Workshop Papers,closed,conf/kes/KratchanovGGE10,10.1007/978-3-642-15390-7_26,https://doi.org/10.1007/978-3-642-15390-7_26,https://dblp.org/rec/conf/kes/KratchanovGGE10
"Georg Oberholzer,Philipp Sommer,Roger Wattenhofer",The SpiderBat ultrasound positioning system.,SenSys,NaN,403-404,2010,Conference and Workshop Papers,closed,conf/sensys/OberholzerSW10,10.1145/1869983.1870044,https://doi.org/10.1145/1869983.1870044,https://dblp.org/rec/conf/sensys/OberholzerSW10
"Brahim Khalil Rebai,Gregory Zacharewicz,David Reymond,Patrice Corbe",AnCaraS - a new webometrics web-spider - G-DEVS-based validation of concepts.,SpringSim,NaN,135,2010,Conference and Workshop Papers,closed,conf/springsim/RebaiZRC10,10.1145/1878537.1878678,https://doi.org/10.1145/1878537.1878678,https://dblp.org/rec/conf/springsim/RebaiZRC10
"Peter Chapman,Gem Stapleton",Introducing Second-Order Spider Diagrams for Defining Regular Languages.,VL/HCC,NaN,159-167,2010,Conference and Workshop Papers,closed,conf/vl/ChapmanS10,10.1109/VLHCC.2010.30,https://doi.org/10.1109/VLHCC.2010.30,https://dblp.org/rec/conf/vl/ChapmanS10
"Marco Di Benedetto 0001,Federico Ponchio,Fabio Ganovelli,Roberto Scopigno",SpiderGL - a JavaScript 3D graphics library for next-generation WWW.,Web3D,NaN,165-174,2010,Conference and Workshop Papers,closed,conf/vrml/BenedettoPGS10,10.1145/1836049.1836075,https://doi.org/10.1145/1836049.1836075,https://dblp.org/rec/conf/vrml/BenedettoPGS10
Marcello Coppola,3D self testing with Spidergon STNoC.,VTS,NaN,327,2010,Conference and Workshop Papers,closed,conf/vts/Coppola10,10.1109/VTS.2010.5469540,https://doi.org/10.1109/VTS.2010.5469540,https://dblp.org/rec/conf/vts/Coppola10
"Chunlong Fan,Zhouhua Yu,Lei Xu",Objective evaluation of Spider Detection Techniques.,WCNIS,NaN,544-548,2010,Conference and Workshop Papers,closed,conf/wcnis/FanYX10,10.1109/WCINS.2010.5541838,https://doi.org/10.1109/WCINS.2010.5541838,https://dblp.org/rec/conf/wcnis/FanYX10
"Eike Luedeling,Adam Hale,Minghua Zhang,Walter J. Bentley,L. Cecil Dharmasri",Remote sensing of spider mite damage in California peach orchards.,Int. J. Appl. Earth Obs. Geoinformation,11,244-255,2009,Journal Articles,closed,journals/aeog/LuedelingHZBD09,10.1016/J.JAG.2009.03.002,https://doi.org/10.1016/j.jag.2009.03.002,https://dblp.org/rec/journals/aeog/LuedelingHZBD09
Ghaleb Al-Gaphari,Building an efficient Indexing for crawling the web site with an efficient spider.,Int. Arab J. Inf. Technol.,6,264-273,2009,Journal Articles,open,journals/iajit/Al-Gaphari09,NaN,http://iajit.org/index.php?option=com_content&task=blogcategory&id=63&Itemid=294,https://dblp.org/rec/journals/iajit/Al-Gaphari09
"Fabrizio Frati,Markus Geyer,Michael Kaufmann 0001",Planar packing of trees and spider trees.,Inf. Process. Lett.,109,301-307,2009,Journal Articles,closed,journals/ipl/FratiGK09,10.1016/J.IPL.2008.11.002,https://doi.org/10.1016/j.ipl.2008.11.002,https://dblp.org/rec/journals/ipl/FratiGK09
"Mahmoud Moadeli,Ali Shahrabi,Wim Vanderbauwhede,Mohamed Ould-Khaoua",An Analytical Comparison of the Spidergon and Rectangular Mesh NoCs.,J. Interconnect. Networks,10,167-188,2009,Journal Articles,closed,journals/join/MoadeliSVO09,10.1142/S0219265909002492,https://doi.org/10.1142/S0219265909002492,https://dblp.org/rec/journals/join/MoadeliSVO09
"Aspriha Chakraborty,Manmohan Singh,David Lucy,Peter Ridland",A numerical study of the formation of spatial patterns in twospotted spider mites.,Math. Comput. Model.,49,1905-1919,2009,Journal Articles,open,journals/mcm/ChakrabortySLR09,10.1016/J.MCM.2008.08.013,https://doi.org/10.1016/j.mcm.2008.08.013,https://dblp.org/rec/journals/mcm/ChakrabortySLR09
"Aspriha Chakraborty,Manmohan Singh,Peter Ridland",Effect of prey-taxis on biological control of the two-spotted spider mite - A numerical approach.,Math. Comput. Model.,50,598-610,2009,Journal Articles,open,journals/mcm/ChakrabortySR09,10.1016/J.MCM.2009.01.005,https://doi.org/10.1016/j.mcm.2009.01.005,https://dblp.org/rec/journals/mcm/ChakrabortySR09
